threshold_A,threshold_B,accuracy,balanced_accuracy,valid_physical_pair,n,tp,tn,fp,fn
0.125,-0.075,0.9064,0.94,True,2500,1768.0,498.0,2.0,232.0
0.125,-0.065,0.9124,0.94375,True,2500,1783.0,498.0,2.0,217.0
0.125,-0.055,0.9184,0.9475,True,2500,1798.0,498.0,2.0,202.0
0.125,-0.045,0.9228,0.95025,True,2500,1809.0,498.0,2.0,191.0
0.125,-0.035,0.9264,0.9525,True,2500,1818.0,498.0,2.0,182.0
0.125,-0.025,0.9284,0.95375,True,2500,1823.0,498.0,2.0,177.0
0.125,-0.015,0.9336,0.957,True,2500,1836.0,498.0,2.0,164.0
0.125,-0.005,0.9344,0.9575,True,2500,1838.0,498.0,2.0,162.0
0.125,0.005,0.9364,0.95875,True,2500,1843.0,498.0,2.0,157.0
0.125,0.015,0.9388,0.96025,True,2500,1849.0,498.0,2.0,151.0
0.125,0.025,0.9396,0.95775,True,2500,1855.0,494.0,6.0,145.0
0.125,0.035,0.9376,0.9415,True,2500,1870.0,474.0,26.0,130.0
0.125,0.045,0.9264,0.8865,True,2500,1906.0,410.0,90.0,94.0
0.125,0.055,0.892,0.7749999999999999,True,2500,1940.0,290.0,210.0,60.0
0.125,0.065,0.8428,0.6272500000000001,True,2500,1973.0,134.0,366.0,27.0
0.125,0.075,0.8096,0.53225,True,2500,1989.0,35.0,465.0,11.0
0.125,0.085,0.7996,0.50125,True,2500,1997.0,2.0,498.0,3.0
0.135,-0.125,0.848,0.905,True,2500,1620.0,500.0,0.0,380.0
0.135,-0.115,0.854,0.90875,True,2500,1635.0,500.0,0.0,365.0
0.135,-0.105,0.8616,0.9135,True,2500,1654.0,500.0,0.0,346.0
0.135,-0.095,0.874,0.92125,True,2500,1685.0,500.0,0.0,315.0
0.135,-0.085,0.8808,0.9255,True,2500,1702.0,500.0,0.0,298.0
0.135,-0.075,0.8848,0.928,True,2500,1712.0,500.0,0.0,288.0
0.135,-0.065,0.8924,0.93275,True,2500,1731.0,500.0,0.0,269.0
0.135,-0.055,0.8984,0.9365,True,2500,1746.0,500.0,0.0,254.0
0.135,-0.045,0.9032,0.9395,True,2500,1758.0,500.0,0.0,242.0
0.135,-0.035,0.9068,0.94175,True,2500,1767.0,500.0,0.0,233.0
0.135,-0.025,0.9104,0.944,True,2500,1776.0,500.0,0.0,224.0
0.135,-0.015,0.9156,0.94725,True,2500,1789.0,500.0,0.0,211.0
0.135,-0.005,0.9172,0.94825,True,2500,1793.0,500.0,0.0,207.0
0.135,0.005,0.9196,0.94975,True,2500,1799.0,500.0,0.0,201.0
0.135,0.015,0.9236,0.95225,True,2500,1809.0,500.0,0.0,191.0
0.135,0.025,0.9252,0.95025,True,2500,1817.0,496.0,4.0,183.0
0.135,0.035,0.924,0.9345,True,2500,1834.0,476.0,24.0,166.0
0.135,0.045,0.9148,0.8807499999999999,True,2500,1875.0,412.0,88.0,125.0
0.135,0.055,0.8852,0.77225,True,2500,1921.0,292.0,208.0,79.0
0.135,0.065,0.838,0.625,True,2500,1960.0,135.0,365.0,40.0
0.135,0.075,0.8072,0.53075,True,2500,1983.0,35.0,465.0,17.0
0.135,0.085,0.7984,0.5005,True,2500,1994.0,2.0,498.0,6.0
0.145,-0.125,0.8156,0.8847499999999999,True,2500,1539.0,500.0,0.0,461.0
0.145,-0.115,0.8236,0.88975,True,2500,1559.0,500.0,0.0,441.0
0.145,-0.105,0.8328,0.8955,True,2500,1582.0,500.0,0.0,418.0
0.145,-0.095,0.846,0.90375,True,2500,1615.0,500.0,0.0,385.0
0.145,-0.085,0.8548,0.90925,True,2500,1637.0,500.0,0.0,363.0
0.145,-0.075,0.86,0.9125,True,2500,1650.0,500.0,0.0,350.0
0.145,-0.065,0.87,0.91875,True,2500,1675.0,500.0,0.0,325.0
0.145,-0.055,0.8764,0.92275,True,2500,1691.0,500.0,0.0,309.0
0.145,-0.045,0.8812,0.92575,True,2500,1703.0,500.0,0.0,297.0
0.145,-0.035,0.8852,0.92825,True,2500,1713.0,500.0,0.0,287.0
0.145,-0.025,0.8896,0.931,True,2500,1724.0,500.0,0.0,276.0
0.145,-0.015,0.896,0.935,True,2500,1740.0,500.0,0.0,260.0
0.145,-0.005,0.898,0.93625,True,2500,1745.0,500.0,0.0,255.0
0.145,0.005,0.9008,0.938,True,2500,1752.0,500.0,0.0,248.0
