threshold_A,threshold_B,valid_physical_pair,n,predicted_leakage,predicted_no_leakage,no_leakage_between_A_B,accuracy,precision,recall,f1,tn,fp,fn,tp,balanced_accuracy
0.145,0.045,True,2500,1934.0,566.0,566.0,0.9032,0.954498448810755,0.923,0.9384850025419421,412.0,88.0,154.0,1846.0,0.8734999999999999
0.115,-0.115,True,2500,1772.0,728.0,728.0,0.9032,0.9960496613995485,0.8825,0.9358430540827146,493.0,7.0,235.0,1765.0,0.93425
0.135,-0.045,True,2500,1758.0,742.0,742.0,0.9032,1.0,0.879,0.9356040447046301,500.0,0.0,242.0,1758.0,0.9395
0.075,0.045,True,2500,2228.0,272.0,272.0,0.9024,0.8940754039497307,0.996,0.9422894985808893,264.0,236.0,8.0,1992.0,0.762
0.125,-0.085,True,2500,1760.0,740.0,740.0,0.9024,0.9988636363636364,0.879,0.9351063829787234,498.0,2.0,242.0,1758.0,0.9375
0.105,0.055,True,2500,2180.0,320.0,320.0,0.9016,0.9022935779816513,0.9835,0.9411483253588516,287.0,213.0,33.0,1967.0,0.77875
0.145,0.005,True,2500,1752.0,748.0,748.0,0.9008,1.0,0.876,0.933901918976546,500.0,0.0,248.0,1752.0,0.938
0.115,-0.125,True,2500,1763.0,737.0,737.0,0.8996,0.9960294951786727,0.878,0.9332979006112144,493.0,7.0,244.0,1756.0,0.9319999999999999
0.155,0.035,True,2500,1796.0,704.0,704.0,0.8992,0.9866369710467706,0.886,0.933614330874605,476.0,24.0,228.0,1772.0,0.919
0.135,-0.055,True,2500,1746.0,754.0,754.0,0.8984,1.0,0.873,0.9321943406300054,500.0,0.0,254.0,1746.0,0.9365
0.145,-0.005,True,2500,1745.0,755.0,755.0,0.898,1.0,0.8725,0.9319092122830441,500.0,0.0,255.0,1745.0,0.93625
0.085,0.055,True,2500,2230.0,270.0,270.0,0.8976,0.8910313901345291,0.9935,0.9394799054373524,257.0,243.0,13.0,1987.0,0.75375
0.125,-0.095,True,2500,1745.0,755.0,755.0,0.8964,0.9988538681948425,0.8715,0.9308411214953273,498.0,2.0,257.0,1743.0,0.9337500000000001
0.115,0.055,True,2500,2166.0,334.0,334.0,0.896,0.9016620498614959,0.9765,0.9375900144023044,287.0,213.0,47.0,1953.0,0.77525
0.145,-0.015,True,2500,1740.0,760.0,760.0,0.896,1.0,0.87,0.9304812834224598,500.0,0.0,260.0,1740.0,0.935
0.155,0.045,True,2500,1912.0,588.0,588.0,0.8944,0.9539748953974896,0.912,0.9325153374233129,412.0,88.0,176.0,1824.0,0.868
0.155,0.025,True,2500,1744.0,756.0,756.0,0.8944,0.9977064220183486,0.87,0.9294871794871795,496.0,4.0,260.0,1740.0,0.931
0.135,-0.065,True,2500,1731.0,769.0,769.0,0.8924,1.0,0.8655,0.9279013669257572,500.0,0.0,269.0,1731.0,0.93275
0.125,0.055,True,2500,2150.0,350.0,350.0,0.892,0.9023255813953488,0.97,0.9349397590361446,290.0,210.0,60.0,1940.0,0.7749999999999999
0.145,-0.025,True,2500,1724.0,776.0,776.0,0.8896,1.0,0.862,0.9258861439312567,500.0,0.0,276.0,1724.0,0.931
0.155,0.015,True,2500,1723.0,777.0,777.0,0.8892,1.0,0.8615,0.9255976363148,500.0,0.0,277.0,1723.0,0.93075
0.125,-0.105,True,2500,1722.0,778.0,778.0,0.8872,0.9988385598141696,0.86,0.9242342826437399,498.0,2.0,280.0,1720.0,0.9279999999999999
0.165,0.035,True,2500,1764.0,736.0,736.0,0.8864,0.9863945578231292,0.87,0.924548352816153,476.0,24.0,260.0,1740.0,0.911
0.135,0.055,True,2500,2129.0,371.0,371.0,0.8852,0.9023015500234852,0.9605,0.9304916444659725,292.0,208.0,79.0,1921.0,0.77225
0.165,0.045,True,2500,1889.0,611.0,611.0,0.8852,0.953414505029116,0.9005,0.9262021085111853,412.0,88.0,199.0,1801.0,0.86225
